Event name,Event Description,Click Text,Event count
navigation,Megamenu Links,Center Staff,225
navigation,Megamenu Links,About Us,206
navigation,Megamenu Links,Events and Programs,150
navigation,Megamenu Links,Student Resources,94
navigation,Megamenu Links,Contact Us,75
navigation,Megamenu Links,Resources,75
navigation,Megamenu Links,Faculty and Staff,56
navigation,Megamenu Links,Safe Space and Other Trainings,56
navigation,Megamenu Links,Upcoming Events,56
navigation,Megamenu Links,Alumni and Community,37
navigation,Megamenu Links,Donate,37
navigation,Footer Social Links,LGBTQ Facebook,37
navigation,Megamenu Links,Students,37
navigation,Utility Links,APPLY,19
navigation,Megamenu Links,Archived Programs,19
navigation,Megamenu Links,Basic Information,19
navigation,Megamenu Links,Center Wishlist,19
navigation,Megamenu Links,Events and Programs Overview,19
navigation,Megamenu Links,FAQs,19
navigation,Megamenu Links,Faculty/Staff Resources,19
navigation,Megamenu Links,Flashes Of Pride Coming Out Poster,19
navigation,Megamenu Links,Get Involved,19
navigation,Megamenu Links,History of the Center,19
navigation,Footer Social Links,KSU LGBTQ Instagram,19
navigation,Megamenu Links,Lavender Graduation,19
navigation,Megamenu Links,Parents and Families,19
navigation,Megamenu Links,QUEST Mentorship Program,19
navigation,Megamenu Links,Rainbow Run 5K,19
navigation,Megamenu Links,Safe Space and Other Trainings Overview,19
navigation,Megamenu Links,Social Groups,19